Viabilidade do campeão	TOP	JUNGLE	MID	ADC 	SUP
Aatrox	690,5	402,9	2,4	0,1	0,7
Ahri	1,9	0,0	1357,0	0,7	3,7
Akali	82,3	0,0	1121,0	0,1	0,4
Akshan	6,0	0,1	402,6	3,4	0,6
Alistar	2,1	0,1	0,4	0,1	536,9
Ambessa	416,1	104,2	5,2	0,0	0,2
Amumu	0,3	825,0	0,1	0,0	51,4
Anivia	7,6	0,1	350,1	1,4	34,7
Annie	2,4	0,0	447,0	0,9	35,5
Aphelios	0,6	0,0	1,4	1029,9	0,2
Ashe	2,7	0,0	2,0	1535,2	39,5
Aurelion Sol	6,9	0,9	607,2	17,1	5,4
Aurora	53,3	0,0	579,7	0,9	2,1
Azir	4,5	0,0	681,6	0,5	1,6
Bardo	0,3	0,0	0,2	0,1	922,9
Bel'Veth	1,1	560,3	0,3	0,0	0,4
Blitzcrank	0,2	0,1	0,3	0,1	1156,9
Brand	6,4	14,2	100,2	15,0	686,9
Braum	0,1	0,0	0,0	0,0	956,5
Briar	10,7	978,0	4,4	0,1	1,3
Caitlyn	3,6	0,0	4,0	1883,3	1,2
Camille	593,5	1,4	3,1	0,1	21,8
Cassiopeia	75,7	0,1	435,1	9,1	0,8
Cho'Gath	537,6	121,5	39,9	1,2	16,6
Corki	4,1	0,2	40,5	397,0	0,2
Darius	1264,0	15,8	2,3	0,2	1,0
Diana	1,6	668,6	409,8	0,1	0,5
Dr. Mundo	563,9	475,0	2,6	0,1	3,2
Draven	3,6	0,1	2,4	841,0	0,2
Ekko	2,4	467,5	397,1	0,2	1,9
Elise	1,9	360,8	1,0	0,1	152,1
Evelynn	0,2	704,0	0,3	0,0	2,0
Ezreal	1,2	0,1	8,6	1525,0	1,9
Fiddlesticks	16,5	455,0	5,4	0,1	81,3
Fiora	840,7	0,1	1,8	0,1	0,3
Fizz	2,9	57,4	920,2	0,3	2,4
Galio	10,8	0,3	742,5	0,2	66,6
Gangplank	666,7	0,0	33,2	0,1	0,4
Garen	1263,6	4,4	15,6	0,2	0,8
Gnar	725,8	0,2	1,4	0,3	0,5
Gragas	371,1	69,5	23,3	0,1	19,4
Graves	5,2	967,3	2,1	0,5	0,2
Gwen	674,3	93,5	5,3	0,1	0,1
Hecarim	0,4	670,9	0,0	0,0	0,1
Heimerdinger	389,8	0,3	74,8	6,9	28,3
Hwei	1,7	0,0	662,0	16,0	51,1
Illaoi	794,6	0,1	3,8	0,1	1,0
Irelia	482,2	0,1	355,8	0,9	0,1
Ivern	10,9	331,1	1,4	0,1	27,0
Janna	0,7	0,0	0,2	0,1	2297,1
Jarvan IV	1,6	959,5	1,4	0,1	14,1
Jax	534,3	589,3	1,6	0,1	1,4
Jayce	520,3	79,8	61,8	0,5	0,6
Jhin	1,1	0,1	2,6	1844,6	1,6
Jinx	0,2	0,0	0,4	1730,6	0,4
K'Sante	760,6	0,1	3,4	0,1	2,0
Kai'Sa	1,7	0,3	3,0	1887,4	0,5
Kalista	13,0	0,0	1,9	508,8	0,9
Karma	5,0	0,0	7,1	0,2	1068,7
Karthus	3,9	401,3	14,7	16,3	4,9
Kassadin	2,6	0,1	659,9	0,1	0,1
Katarina	1,6	0,1	1173,1	1,3	0,9
Kayle	702,6	0,5	108,0	0,5	1,4
Kayn	24,0	1266,1	0,4	0,0	0,1
Kennen	397,6	0,1	138,2	0,7	6,5
Kha'Zix	0,1	1069,7	0,1	0,0	0,1
Kindred	0,3	735,9	0,4	1,1	0,1
Kled	504,0	0,3	7,0	0,2	1,5
Kog'Maw	1,8	0,1	14,1	478,4	4,5
LeBlanc	1,6	0,0	855,6	0,3	50,3
Lee Sin	5,6	1274,4	1,9	0,1	8,1
Leona	2,7	0,1	0,0	0,0	1331,7
Lillia	4,3	853,1	0,4	0,0	0,4
Lissandra	6,2	0,0	643,0	0,3	9,2
Lucian	1,5	0,0	6,3	1203,6	0,2
Lulu	0,7	0,0	0,4	0,1	1188,5
Lux	0,5	0,0	258,0	7,8	1110,8
Malphite	692,1	295,4	45,6	0,2	65,5
Malzahar	20,4	0,2	1158,4	3,0	3,3
Maokai	26,9	19,7	0,4	0,1	503,0
Master Yi	30,1	1174,2	2,0	0,3	1,6
Mel	2,5	0,0	769,7	55,6	384,4
Milio	0,0	0,0	0,0	0,0	1182,9
Miss Fortune	0,2	0,0	1,9	2153,6	8,5
Mordekaiser	1159,1	23,4	6,8	0,2	1,4
Morgana	2,6	11,6	146,1	1,1	983,7
Naafiri	14,9	329,6	338,2	0,5	1,2
Nami	0,0	0,0	0,0	0,0	1372,1
Nasus	730,4	48,9	13,3	0,2	1,9
Nautilus	1,2	2,2	0,4	0,1	1389,0
Neeko	2,5	2,7	48,4	1,0	773,3
Nidalee	4,2	557,3	3,1	0,4	36,5
Nilah	0,3	0,4	0,2	552,7	0,1
Nocturne	2,4	1006,8	1,2	0,0	0,4
Nunu e Willump	0,4	593,8	11,0	0,1	6,1
Olaf	513,2	35,3	1,1	0,3	0,2
Orianna	1,3	0,0	1058,9	0,0	2,9
Ornn	636,0	37,4	2,5	0,1	7,0
Pantheon	140,1	148,7	43,5	0,5	416,7
Poppy	94,1	47,5	0,5	0,1	469,5
Pyke	0,0	0,1	1,2	0,3	1187,6
Qiyana	1,9	456,7	237,6	0,1	1,5
Quinn	440,7	2,1	60,4	4,1	5,3
Rakan	0,1	0,0	0,7	0,0	831,7
Rammus	5,3	587,0	0,2	0,1	10,2
Rek'Sai	38,3	366,3	1,2	0,0	2,0
